,NAME,CATEGORY,SUBCATEGORY,LON,LAT,CITY,OPENING_HOURS,OTHER_TAGS
44344,Pöstli,ACCOMMODATION,HOTEL,8.642245200000001,47.4289726,Baltenswil,,"{""wheelchair"":""no"",""name"":""Pöstli"",""tourism"":""hotel""}"
44392,Berggasthaus First,ACCOMMODATION,HOTEL,8.0536211,46.6594893,,,"{""name"":""Berggasthaus First"",""tourism"":""hotel""}"
44416,Alpenruhe,ACCOMMODATION,HOTEL,7.9186195,46.609580400000006,,,"{""name"":""Alpenruhe"",""tourism"":""hotel"",""source"":""GPS and local knowledge""}"
44417,Beausite Park,ACCOMMODATION,HOTEL,7.9247768,46.6086851,,,"{""name"":""Beausite Park"",""tourism"":""hotel"",""stars"":""4"",""source"":""GPS and local knowledge""}"
44418,Belvédère,ACCOMMODATION,HOTEL,7.9192583,46.608808200000006,,,"{""name"":""Belvédère"",""tourism"":""hotel"",""stars"":""3"",""source"":""GPS and local knowledge""}"
44419,Caprice,ACCOMMODATION,HOTEL,7.922930900000001,46.6042446,,,"{""name"":""Caprice"",""tourism"":""hotel"",""source"":""local knowledge""}"
44420,Jungfraublick,ACCOMMODATION,HOTEL,7.920969100000001,46.6083745,,,"{""name"":""Jungfraublick"",""tourism"":""hotel"",""stars"":""3"",""source"":""GPS and local knowledge""}"
44421,Silberhorn,ACCOMMODATION,HOTEL,7.922138100000001,46.6052545,,,"{""name"":""Silberhorn"",""tourism"":""hotel"",""stars"":""4"",""source"":""GPS and local knowledge""}"
44422,Wengener Hof,ACCOMMODATION,HOTEL,7.9187149,46.6083453,,,"{""name"":""Wengener Hof"",""tourism"":""hotel"",""stars"":""4"",""source"":""GPS and local knowledge""}"
44465,Aesch,ACCOMMODATION,HOTEL,8.5217953,47.095805600000006,,,"{""internet_access"":""wlan"",""internet_access:fee"":""no"",""name"":""Aesch"",""tourism"":""hotel""}"
44520,Hôtel Le Grenil,ACCOMMODATION,HOTEL,6.1347394,46.2006491,Genève,,"{""name"":""Hôtel Le Grenil"",""tourism"":""hotel"",""internet_access"":""wlan""}"
44607,Bergheim,ACCOMMODATION,HOTEL,7.801209300000001,46.303625700000005,,,"{""name"":""Bergheim"",""tourism"":""hotel""}"
44611,Albergo Robiei,ACCOMMODATION,HOTEL,8.5135913,46.4440496,,,"{""name"":""Albergo Robiei"",""tourism"":""hotel""}"
44672,Hotel Posthuis,ACCOMMODATION,HOTEL,8.2693891,46.773742600000006,Melchsee-Frutt,,"{""name"":""Hotel Posthuis"",""tourism"":""hotel""}"
44738,Le Terminus,ACCOMMODATION,HOTEL,7.532518100000001,46.293125,,,"{""name"":""Le Terminus"",""tourism"":""hotel"",""building"":""yes""}"
44779,Hotel Seerausch,ACCOMMODATION,HOTEL,8.4590453,46.9715329,,,"{""name"":""Hotel Seerausch"",""tourism"":""hotel""}"
44790,Alpina,ACCOMMODATION,HOTEL,7.864669900000001,46.6785544,Matten,,"{""internet_access"":""wlan"",""internet_access:fee"":""no"",""tourism"":""hotel"",""stars"":""2"",""name"":""Alpina"",""beds"":""60""}"
44791,Basicrooms,ACCOMMODATION,HOTEL,7.8646491,46.6784194,Matten,,"{""internet_access"":""wlan"",""internet_access:fee"":""no"",""tourism"":""hotel"",""stars"":""2"",""name"":""Basicrooms""}"
44792,Blume,ACCOMMODATION,HOTEL,7.856271800000001,46.6846694,,,"{""rooms"":""12"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""name"":""Blume"",""tourism"":""hotel"",""stars"":""2""}"
44794,Du Nord,ACCOMMODATION,HOTEL,7.8622293,46.688234400000006,,,"{""wheelchair"":""yes"",""internet_access"":""wlan"",""internet_access:fee"":""yes"",""tourism"":""hotel"",""wheelchair:description"":""1 rollstuhlgängiges 2-Zimmer-Premium-Apartment 1 rollstuhlgängiges 2-Zimmer-Budget-Apartment 1 rollstuhlgängiges 3-Zimmer-Premium-Apartment"",""stars"":""4"",""smoking"":""no"",""name"":""Du Nord""}"
44795,Harder-Minerva,ACCOMMODATION,HOTEL,7.8551457,46.686583000000006,,,"{""internet_access"":""yes"",""name"":""Harder-Minerva"",""tourism"":""hotel"",""stars"":""2""}"
44796,Salzano Hotel Spa Restaurant,ACCOMMODATION,HOTEL,7.8282892,46.6810397,,,"{""internet_access"":""wlan"",""internet_access:fee"":""no"",""name"":""Salzano Hotel Spa Restaurant"",""tourism"":""hotel"",""stars"":""3""}"
44797,Lötschberg,ACCOMMODATION,HOTEL,7.8537648,46.6816298,,,"{""rooms"":""19"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""tourism"":""hotel"",""stars"":""3"",""smoking"":""no"",""name"":""Lötschberg"",""beds"":""36""}"
44798,Mattenhof Resort,ACCOMMODATION,HOTEL,7.8644477,46.6793898,Matten,,"{""rooms"":""63"",""tourism"":""hotel"",""name"":""Mattenhof Resort"",""wikidata"":""Q29673262""}"
44801,Post Hardermannli,ACCOMMODATION,HOTEL,7.8486843,46.6857538,,,"{""wheelchair"":""limited"",""internet_access"":""wlan"",""name"":""Post Hardermannli"",""tourism"":""hotel"",""stars"":""2""}"
44803,Rössli,ACCOMMODATION,HOTEL,7.848934700000001,46.6858358,,,"{""internet_access"":""wlan"",""name"":""Rössli"",""tourism"":""hotel"",""stars"":""2""}"
44804,Sonne,ACCOMMODATION,HOTEL,7.864033200000001,46.6801545,Matten,,"{""rooms"":""22"",""tourism"":""hotel"",""stars"":""3"",""name"":""Sonne"",""beds"":""45""}"
44805,Swiss Inn,ACCOMMODATION,HOTEL,7.855005200000001,46.682122500000006,,,"{""name"":""Swiss Inn"",""tourism"":""hotel""}"
44806,Toscana,ACCOMMODATION,HOTEL,7.8562177,46.6848577,,,"{""rooms"":""22"",""internet_access"":""wlan,wired"",""internet_access:fee"":""yes"",""tourism"":""hotel"",""stars"":""3"",""name"":""Toscana"",""beds"":""50""}"
44808,Waldhotel-Unspunne,ACCOMMODATION,HOTEL,7.8558307,46.6721233,Matten,,"{""rooms"":""29"",""internet_access"":""wlan"",""tourism"":""hotel"",""stars"":""2"",""name"":""Waldhotel-Unspunne""}"
44809,Weisses Kreuz,ACCOMMODATION,HOTEL,7.8553651,46.6850852,,,"{""internet_access"":""wlan"",""smoking"":""no"",""name"":""Weisses Kreuz"",""tourism"":""hotel"",""stars"":""3"",""name:zh"":""维赛斯克鲁兹酒店""}"
44836,Cafe Gadient,ACCOMMODATION,HOTEL,9.6788464,46.7802439,Arosa,,"{""name"":""Cafe Gadient"",""tourism"":""hotel""}"
44948,Hotel Schwan,ACCOMMODATION,HOTEL,8.5984329,47.2597201,,,"{""name"":""Hotel Schwan"",""tourism"":""hotel""}"
45026,Mövenpick Regensdorf,ACCOMMODATION,HOTEL,8.4675819,47.4312274,Regensdorf,,"{""wheelchair"":""yes"",""toilets:wheelchair"":""yes"",""name"":""Mövenpick Regensdorf"",""tourism"":""hotel"",""stars"":""4""}"
45047,Résidence du Chamossaire,ACCOMMODATION,HOTEL,7.0116806,46.345476000000005,,,"{""name"":""Résidence du Chamossaire"",""tourism"":""hotel""}"
45050,Le Grand Chalet,ACCOMMODATION,HOTEL,7.0114875,46.3470609,,,"{""name"":""Le Grand Chalet"",""tourism"":""hotel""}"
45053,Am Spisertor,ACCOMMODATION,HOTEL,9.3798741,47.4240756,St. Gallen,,"{""name"":""Am Spisertor"",""tourism"":""hotel"",""wikidata"":""Q57235918""}"
45066,Les Cygnes,ACCOMMODATION,HOTEL,6.692699200000001,47.064700900000005,Villers-le-Lac,,"{""wheelchair"":""yes"",""rooms"":""14"",""contact:facebook"":""https://www.facebook.com/LES-Cygnes-973650106356787/"",""amenity"":""restaurant"",""tourism"":""hotel"",""description:covid19"":""Commander au 07 70 95 84 68, livraison par des bénévoles."",""stars"":""2"",""opening_hours:covid19"":""open"",""delivery:covid19"":""yes"",""name"":""Les Cygnes"",""takeaway:covid19"":""yes"",""outdoor_seating"":""yes""}"
45076,Schlüssel,ACCOMMODATION,HOTEL,8.3029627,47.0498617,,,"{""name"":""Schlüssel"",""wheelchair"":""yes"",""tourism"":""hotel"",""amenity"":""restaurant""}"
45122,Adler Central,ACCOMMODATION,HOTEL,8.1889175,46.7276128,,,"{""name"":""Adler Central"",""tourism"":""hotel""}"
45123,Hasli Lodge,ACCOMMODATION,HOTEL,8.1879304,46.728236200000005,,,"{""name"":""Hasli Lodge"",""tourism"":""hotel""}"
45125,Meiringen,ACCOMMODATION,HOTEL,8.1848566,46.7279788,Meiringen,,"{""name"":""Meiringen"",""tourism"":""hotel""}"
45126,Alpbach,ACCOMMODATION,HOTEL,8.188314,46.728624100000005,,,"{""name"":""Alpbach"",""tourism"":""hotel""}"
45127,Hotel Rebstock,ACCOMMODATION,HOTEL,8.1867645,46.7279628,Meiringen,,"{""internet_access"":""wlan"",""internet_access:fee"":""no"",""tourism"":""hotel"",""name"":""Hotel Rebstock""}"
45128,Baer,ACCOMMODATION,HOTEL,8.1852304,46.727830700000005,Meiringen,,"{""name"":""Baer"",""tourism"":""hotel""}"
45129,Gemsli,ACCOMMODATION,HOTEL,9.256089,47.102225,,,"{""name"":""Gemsli"",""tourism"":""hotel"",""amenity"":""restaurant""}"
45245,Renaissance,ACCOMMODATION,HOTEL,8.3070708,47.0489067,,,"{""name"":""Renaissance"",""tourism"":""hotel""}"
45273,Café de la Poste,ACCOMMODATION,HOTEL,7.1849325,46.1720614,,,"{""name"":""Café de la Poste"",""tourism"":""hotel""}"
